cluster_id,Feature,Importance,Median,,,,,,,,
0,addressHandFirst,0.179650988,-20.781229,,,,,,,,
0,addressLieAngle,0.15907266,40.090389,,,,,,,,
0,halfwaydownFaceAngleToVertical,0.1538128,20.124808,,,,,,,,
0,impactGripSpeed,0.11182034,6.41823575,,,,,,,,
0,downSwingShaftRotationMax,0.106639494,-341.34146,,,,,,,,
0,halfwaybackFaceAngleToVertical,0.103795294,-7.4818955,,,,,,,,
0,topFaceAngleToHorizontal,0.097771537,7.445408117,,,,,,,,
0,downSwingShaftRotationMin,0.087436888,-1250.2439,,,,,,,,
1,halfwaydownFaceAngleToVertical,0.228847232,12.915949,,,,,,,,
1,downSwingShaftRotationMax,0.140531668,-425.60977,,,,,,,,
1,downSwingShaftRotationMin,0.139431936,-1557.683,,,,,,,,
1,impactGripSpeed,0.112013747,5.934476107,,,,,,,,
1,addressHandFirst,0.100545712,-6.03749925,,,,,,,,
1,topFaceAngleToHorizontal,0.099565323,16.1323015,,,,,,,,
1,halfwaybackFaceAngleToVertical,0.089710746,-22.02704236,,,,,,,,
1,addressLieAngle,0.089353636,41.5502585,,,,,,,,
2,halfwaydownFaceAngleToVertical,0.159912111,-8.695305825,,,,,,,,
2,addressLieAngle,0.155567049,42.12199735,,,,,,,,
2,addressHandFirst,0.148064608,-9.461936946,,,,,,,,
2,impactGripSpeed,0.116887248,7.143940212,,,,,,,,
2,halfwaybackFaceAngleToVertical,0.112112953,-54.70157234,,,,,,,,
2,downSwingShaftRotationMax,0.109534677,-316.2804865,,,,,,,,
2,topFaceAngleToHorizontal,0.100661842,6.7610645,,,,,,,,
2,downSwingShaftRotationMin,0.097259512,-1152.256145,,,,,,,,
3,downSwingShaftRotationMin,0.217617477,-1234.1464,,,,,,,,
3,impactGripSpeed,0.18217666,5.28113699,,,,,,,,
3,downSwingShaftRotationMax,0.124487609,-300.9756165,,,,,,,,
3,addressLieAngle,0.117011119,41.861073,,,,,,,,
3,halfwaydownFaceAngleToVertical,0.099248025,-9.019277,,,,,,,,
3,addressHandFirst,0.095178794,-4.715614319,,,,,,,,
3,topFaceAngleToHorizontal,0.092046118,-68.91922,,,,,,,,
3,halfwaybackFaceAngleToVertical,0.072234198,-33.777336,,,,,,,,
4,halfwaydownFaceAngleToVertical,0.176840164,-8.3524475,,,,,,,,
4,addressHandFirst,0.174934342,-1.50839655,,,,,,,,
4,topFaceAngleToHorizontal,0.147648724,27.1743895,,,,,,,,
4,downSwingShaftRotationMax,0.116628265,-419.14636,,,,,,,,
4,impactGripSpeed,0.110792753,5.919290563,,,,,,,,
4,addressLieAngle,0.097091101,41.425346,,,,,,,,
4,downSwingShaftRotationMin,0.093400199,-1086.097543,,,,,,,,
4,halfwaybackFaceAngleToVertical,0.082664452,-26.527907,,,,,,,,
5,halfwaydownFaceAngleToVertical,0.191397836,9.491820577,,,,,,,,
5,halfwaybackFaceAngleToVertical,0.172154525,-0.74227615,,,,,,,,
5,addressLieAngle,0.133384145,52.8863965,,,,,,,,
5,addressHandFirst,0.132949248,-19.67238642,,,,,,,,
5,downSwingShaftRotationMax,0.108815354,-457.256105,,,,,,,,
5,downSwingShaftRotationMin,0.09915766,-1446.097595,,,,,,,,
5,impactGripSpeed,0.083426312,5.9760955,,,,,,,,
5,topFaceAngleToHorizontal,0.07871492,-19.561001,,,,,,,,
6,halfwaydownFaceAngleToVertical,0.28505553,1.370773,,,,,,,,
6,downSwingShaftRotationMin,0.140030085,-1966.463501,,,,,,,,
6,downSwingShaftRotationMax,0.127656205,-499.51221,,,,,,,,
6,addressHandFirst,0.10394336,-10.75952862,,,,,,,,
6,addressLieAngle,0.089835146,51.92843804,,,,,,,,
6,halfwaybackFaceAngleToVertical,0.088291889,-14.642448,,,,,,,,
6,topFaceAngleToHorizontal,0.083959758,-2.3449788,,,,,,,,
6,impactGripSpeed,0.081228027,5.892360211,,,,,,,,
7,halfwaydownFaceAngleToVertical,0.273239296,-18.04270172,,,,,,,,
7,addressHandFirst,0.136842278,-11.339717,,,,,,,,
7,downSwingShaftRotationMax,0.12256427,-428.0488,,,,,,,,
7,downSwingShaftRotationMin,0.111677433,-1368.2927,,,,,,,,
7,topFaceAngleToHorizontal,0.095090654,7.9894867,,,,,,,,
7,halfwaybackFaceAngleToVertical,0.092399287,-41.15656,,,,,,,,
7,addressLieAngle,0.085676151,53.4752,,,,,,,,
7,impactGripSpeed,0.082510631,6.442550182,,,,,,,,
8,halfwaydownFaceAngleToVertical,0.211781535,-20.4068185,,,,,,,,
8,downSwingShaftRotationMin,0.143483325,-1205.30485,,,,,,,,
8,addressHandFirst,0.125755493,-9.339655522,,,,,,,,
8,impactGripSpeed,0.12158142,5.0947772,,,,,,,,
8,downSwingShaftRotationMax,0.121204845,-363.84147,,,,,,,,
8,topFaceAngleToHorizontal,0.100003671,-73.85257,,,,,,,,
8,halfwaybackFaceAngleToVertical,0.090410278,-35.25356,,,,,,,,
8,addressLieAngle,0.085779434,53.23946754,,,,,,,,
9,addressHandFirst,0.227972019,-7.4339775,,,,,,,,
9,halfwaydownFaceAngleToVertical,0.159166647,-23.79157721,,,,,,,,
9,topFaceAngleToHorizontal,0.130703349,56.30775281,,,,,,,,
9,downSwingShaftRotationMax,0.122485296,-546.3415,,,,,,,,
9,impactGripSpeed,0.106358629,5.86913705,,,,,,,,
9,downSwingShaftRotationMin,0.09478616,-1022.012215,,,,,,,,
9,addressLieAngle,0.081710745,54.039536,,,,,,,,
9,halfwaybackFaceAngleToVertical,0.076817155,-27.9738595,,,,,,,,
